eid,name,position,salary,department,location,hire_date,performance_score,years_of_experience
1,Alice_1,Marketing Analyst,77146.21,Sales,New York,2011-04-17,4.38,30
2,Bob_1,HR Specialist,97358.08,Finance,San Francisco,2021-09-12,4.11,1
3,Charlie_1,HR Specialist,112464.16,Marketing,San Francisco,2009-05-17,3.09,3
4,David_1,Marketing Analyst,131623.5,Marketing,San Francisco,2004-02-13,2.42,14
5,Eve_1,Salesperson,106422.09,Sales,Boston,2013-09-28,1.75,17
6,Frank_1,HR Specialist,54645.34,Sales,Boston,2021-10-10,4.97,2
7,Grace_1,HR Specialist,75232.66,Marketing,Austin,2007-08-28,2.42,1
8,Hank_1,Salesperson,115273.62,Sales,New York,2020-03-06,2.83,17
9,Ivy_1,Marketing Analyst,74000.82,Sales,Chicago,2016-11-26,4.9,7
10,Jack_1,Engineer,147798.79,Finance,Boston,2005-06-04,2.58,4
11,Alice_2,Engineer,71288.78,HR,Boston,2013-03-21,3.91,8
12,Bob_2,Engineer,142914.47,Sales,Austin,2018-02-24,1.52,29
13,Charlie_2,Engineer,92046.97,Marketing,San Francisco,2015-08-21,1.19,28
14,David_2,Manager,140858.65,Finance,New York,2005-04-08,1.58,25
15,Eve_2,Salesperson,141665.63,Sales,San Francisco,2003-07-16,2.82,27
16,Frank_2,Salesperson,103672.78,Finance,Boston,2005-05-09,4.42,2
17,Grace_2,Marketing Analyst,80164.78,Engineering,Austin,2003-04-06,3.53,14
18,Hank_2,Marketing Analyst,140903.85,Finance,New York,2021-09-04,2.79,7
19,Ivy_2,Manager,83910.69,Sales,New York,2003-04-01,3.71,24
20,Jack_2,Marketing Analyst,51711.81,Sales,San Francisco,2000-07-19,3.17,20
21,Alice_3,Manager,57511.18,Marketing,Boston,2001-09-28,1.65,4
22,Bob_3,Marketing Analyst,102909.02,HR,Chicago,2015-08-06,2.73,7
23,Charlie_3,Marketing Analyst,129473.34,HR,New York,2014-11-20,4.73,14
24,David_3,Manager,59649.07,HR,Boston,2014-02-12,1.63,9
25,Eve_3,Marketing Analyst,97825.04,HR,Boston,2017-04-03,3.61,3
26,Frank_3,Marketing Analyst,137280.73,Marketing,Austin,2010-08-25,4.25,12
27,Grace_3,HR Specialist,120686.58,HR,Austin,2011-06-30,1.38,4
28,Hank_3,Salesperson,112957.99,Marketing,New York,2022-06-24,2.46,26
29,Ivy_3,Manager,63561.83,HR,San Francisco,2010-09-29,3.2,2
30,Jack_3,Engineer,53639.66,Marketing,Chicago,2004-05-07,2.86,29
31,Alice_4,Manager,145660.2,HR,Chicago,2014-09-24,4.32,25
32,Bob_4,Salesperson,139572.59,Finance,Boston,2013-10-26,3.7,10
33,Charlie_4,HR Specialist,70615.44,Sales,Austin,2000-10-22,3.03,13
34,David_4,Salesperson,148602.78,HR,Austin,2009-04-14,3.03,24
35,Eve_4,HR Specialist,67932.51,Sales,New York,2010-10-27,3.78,17
36,Frank_4,Engineer,88394.98,Engineering,Austin,2017-11-03,1.5,30
37,Grace_4,Salesperson,61286.88,Engineering,Boston,2019-07-12,1.95,6
38,Hank_4,Salesperson,101150.05,Sales,New York,2015-07-25,1.39,23
39,Ivy_4,Engineer,75489.19,HR,Chicago,2019-09-18,1.84,20
40,Jack_4,Marketing Analyst,61621.18,Marketing,Boston,2016-02-06,1.65,25
41,Alice_5,Manager,67266.04,Marketing,Austin,2014-08-04,2.78,20
42,Bob_5,Salesperson,112485.24,Marketing,Boston,2008-06-05,1.01,24
43,Charlie_5,HR Specialist,128291.78,Finance,Chicago,2021-03-15,2.64,11
44,David_5,HR Specialist,114988.44,Marketing,Chicago,2014-05-01,2.08,4
45,Eve_5,Engineer,131991.36,Finance,San Francisco,2007-07-18,1.76,4
46,Frank_5,Engineer,93850.8,Finance,Boston,2000-01-28,3.87,23
47,Grace_5,Engineer,104297.42,Engineering,Boston,2021-06-10,1.56,15
48,Hank_5,Salesperson,122229.73,Finance,New York,2017-11-14,4.93,27
49,Ivy_5,Salesperson,98823.05,Sales,Chicago,2017-02-11,1.64,23
50,Jack_5,Manager,52187.37,Sales,San Francisco,2004-05-09,4.61,19
51,Alice_6,Engineer,119667.06,HR,Austin,2007-06-22,4.8,29
52,Bob_6,Engineer,71346.93,Sales,Boston,2004-10-05,4.48,27
53,Charlie_6,HR Specialist,58612.72,Finance,New York,2001-08-01,3.87,14
54,David_6,Engineer,81658.94,Finance,Austin,2012-10-06,4.5,29
55,Eve_6,Manager,121255.31,Sales,San Francisco,2005-06-29,4.56,1
56,Frank_6,Marketing Analyst,139809.96,Finance,Chicago,2018-02-12,4.01,16
57,Grace_6,Manager,97365.81,Finance,Chicago,2001-12-10,2.86,18
58,Hank_6,Marketing Analyst,65047.12,Engineering,Boston,2008-03-19,1.52,6
59,Ivy_6,HR Specialist,74989.84,Marketing,Austin,2001-03-17,3.98,10
60,Jack_6,Engineer,101959.41,Marketing,Chicago,2008-11-28,4.76,20
61,Alice_7,Marketing Analyst,145445.1,Engineering,Chicago,2010-05-16,3.07,30
62,Bob_7,Engineer,117559.83,HR,Boston,2017-03-02,1.81,30
63,Charlie_7,Marketing Analyst,80335.34,Marketing,Austin,2000-07-22,4.72,11
64,David_7,Engineer,67390.18,Sales,New York,2023-03-10,1.47,12
